Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
4,1,1,24,9,ACCELERATING,false,0,0,0,0,1,,,1,0,8
5,1,1,33,9,ACCELERATING,false,0,0,0,0,1,,,1,0,8
6,1,2,41,9,TURNING_RIGHT,false,0,0,0,0,1,,,1,0,8
7,1,3,49,9,TURNING_RIGHT,false,0,0,0,0,1,,,1,0,8
8,1,3,58,9,ACCELERATING,false,0,0,0,0,1,,,1,0,8
9,1,2,66,9,TURNING_LEFT,false,0,0,0,0,1,,,1,0,8
10,1,1,74,9,TURNING_LEFT,false,0,0,0,0,1,,,1,0,8
11,1,1,83,9,ACCELERATING,false,0,0,0,0,1,,,1,0,8
12,1,1,92,9,ACCELERATING,false,0,0,0,0,1,,,2,0,12
13,1,1,101,9,ACCELERATING,false,0,0,0,0,2,,,2,0,16
14,1,1,110,9,ACCELERATING,false,0,0,0,0,2,,,2,0,16
15,1,1,119,9,ACCELERATING,false,0,0,0,0,3,,,2,0,20
16,1,1,128,9,ACCELERATING,false,0,0,0,0,3,,,2,0,20
17,1,1,136,3,HIT_MUD,false,0,3,0,0,3,,,2,0,11
18,1,1,138,3,HIT_MUD,false,0,4,0,0,3,,,2,0,8
19,1,1,141,0,HIT_WALL,false,0,5,0,0,3,,,2,0,3
20,1,1,141,0,FIXED_CAR,false,0,3,0,0,3,,,2,0,3
21,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
22,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
23,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
24,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
25,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
26,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
27,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
28,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
29,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
30,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
31,1,1,141,0,NOTHING,false,0,3,0,0,3,,,2,0,3
