Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,6,HIT_MUD,false,0,1,0,0,2,,,0,0,5
4,2,4,23,8,ACCELERATING,false,0,1,0,1,2,,,0,0,9
5,2,4,31,8,USED_OIL,false,0,1,0,0,2,,,0,0,13
6,2,3,38,8,TURNING_LEFT,false,0,1,0,0,2,,,0,0,13
7,2,3,47,9,ACCELERATING,false,0,1,1,0,2,,,0,0,17
8,2,3,47,9,FIXED_CAR,false,0,0,1,0,2,,,0,0,17
9,2,3,62,15,USED_BOOST,true,5,0,0,0,2,,,0,0,21
10,2,3,77,15,NOTHING,true,4,0,1,0,2,,,0,0,25
11,2,4,91,15,TURNING_RIGHT,true,3,0,1,0,2,,,0,1,29
12,2,4,106,15,USED_LIZARD,true,2,0,1,0,1,,,0,1,29
13,2,4,121,15,USED_LIZARD,true,1,0,1,0,0,,,0,1,29
14,2,3,129,8,HIT_MUD,false,0,1,1,0,0,,,1,2,34
15,2,2,136,8,TURNING_LEFT,false,0,1,2,0,0,,,1,2,38
16,2,2,136,8,FIXED_CAR,false,0,0,2,0,0,,,1,2,38
17,2,2,151,15,USED_BOOST,true,5,0,1,1,0,,,1,2,46
18,2,1,165,15,TURNING_LEFT,true,4,0,1,1,1,,,2,2,54
19,2,2,179,15,TURNING_RIGHT,true,3,0,1,1,1,,,2,2,54
20,2,2,194,15,USED_EMP,true,2,0,2,1,1,,,2,1,62
21,2,2,209,15,USED_LIZARD,true,1,0,2,1,0,,,2,1,62
22,2,2,217,15,USED_BOOST,true,5,0,2,1,0,,,2,1,70
23,2,3,231,15,TURNING_RIGHT,true,4,0,2,2,1,,,2,1,78
24,2,3,246,15,USED_TWEET,true,3,0,3,2,1,3,238,1,1,86
25,2,3,261,15,USED_TWEET,true,2,0,4,4,1,3,253,0,1,102
26,2,3,276,15,USED_OIL,true,1,0,5,3,2,3,253,0,1,114
27,2,2,284,9,TURNING_LEFT,false,0,0,5,3,2,3,253,0,1,114
28,2,2,299,15,USED_BOOST,true,5,0,4,3,2,3,253,0,1,118
29,2,3,313,15,TURNING_RIGHT,true,4,0,4,3,2,3,253,0,1,118
30,2,3,328,15,USED_OIL,true,3,0,4,3,3,3,253,0,1,130
31,2,4,342,15,TURNING_RIGHT,true,2,0,6,3,3,3,253,0,1,138
32,2,3,356,15,TURNING_LEFT,true,1,0,6,3,3,3,253,0,1,138
33,2,3,371,15,USED_BOOST,true,5,0,5,3,3,3,253,0,1,142
34,2,3,386,15,USED_LIZARD,true,4,0,5,3,2,3,253,0,1,142
35,2,2,400,15,TURNING_LEFT,true,3,0,5,3,3,3,253,0,1,146
36,2,2,415,15,USED_OIL,true,2,0,5,2,3,3,253,0,1,150
37,2,3,429,15,TURNING_RIGHT,true,1,0,5,2,3,3,253,0,2,154
38,2,3,444,15,USED_BOOST,true,5,0,4,2,3,3,253,0,2,158
39,2,3,459,15,USED_OIL,true,4,0,5,1,4,3,253,0,2,170
40,2,2,473,15,TURNING_LEFT,true,3,0,5,1,4,3,253,0,2,170
41,2,2,488,15,USED_OIL,true,2,0,5,0,4,3,253,0,2,174
