Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,2,12,6,TURNING_RIGHT,false,0,0,0,0,0,,,0,0,0
4,1,2,20,8,ACCELERATING,false,0,0,0,0,0,,,1,1,8
5,1,2,28,8,USED_TWEET,false,0,0,0,0,0,4,33,0,1,12
6,1,2,36,8,USED_EMP,false,0,0,0,0,0,4,33,0,0,16
7,1,3,43,8,TURNING_RIGHT,false,0,0,1,0,0,4,33,0,0,20
8,1,3,46,9,ACCELERATING,false,0,0,1,0,0,4,33,0,0,20
9,1,3,61,15,USED_BOOST,true,5,0,0,0,0,4,33,0,0,24
10,1,3,76,15,ACCELERATING,true,4,0,1,0,0,4,33,0,0,28
11,1,3,91,15,ACCELERATING,true,3,0,1,0,0,4,33,0,0,28
12,1,2,105,15,TURNING_LEFT,true,2,0,1,0,0,4,33,0,0,28
13,1,2,120,15,ACCELERATING,true,1,0,1,0,0,4,33,0,0,28
14,1,2,129,9,ACCELERATING,false,0,0,1,0,0,4,33,0,0,28
15,1,2,144,15,USED_BOOST,true,5,0,1,0,0,4,33,0,0,36
16,1,2,159,15,ACCELERATING,true,4,0,1,1,0,4,33,0,0,40
17,1,2,174,15,USED_OIL,true,3,0,1,0,0,4,33,0,0,44
18,1,2,189,15,ACCELERATING,true,2,0,1,0,0,4,33,0,0,44
19,1,2,204,15,ACCELERATING,true,1,0,2,1,0,4,33,0,0,52
20,1,2,204,3,HIT_EMP,false,0,0,2,0,0,4,33,0,0,49
21,1,2,210,6,ACCELERATING,false,0,0,2,0,0,4,33,0,0,49
22,1,2,218,8,ACCELERATING,false,0,0,3,0,0,4,33,0,0,53
23,1,2,227,9,ACCELERATING,false,0,0,3,0,0,4,33,1,0,57
24,1,2,242,9,HIT_MUD,false,0,1,2,0,0,4,33,1,0,58
25,1,2,251,6,HIT_MUD,false,0,3,2,0,0,4,33,1,0,60
26,1,2,257,6,USED_TWEET,false,0,3,2,0,0,3,278,0,0,64
27,1,1,262,3,HIT_MUD,false,0,4,2,0,0,3,278,0,0,61
28,1,1,265,3,ACCELERATING,false,0,4,2,0,0,3,278,0,0,61
29,1,1,268,3,ACCELERATING,false,0,4,2,0,0,3,278,0,0,61
30,1,1,271,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
31,1,1,274,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
32,1,1,277,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
33,1,1,280,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
34,1,1,283,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
35,1,1,286,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
36,1,1,289,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
37,1,1,292,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
38,1,1,295,3,ACCELERATING,false,0,4,2,0,0,3,278,0,1,65
39,1,1,298,0,HIT_MUD,false,0,5,2,0,0,3,278,0,1,62
40,1,1,298,0,ACCELERATING,false,0,5,2,0,0,3,278,0,1,62
41,1,1,298,0,ACCELERATING,false,0,5,2,0,0,3,278,0,1,62
