Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,6,TURNING_LEFT,false,0,0,0,0,0,,,0,1,4
4,2,3,20,8,ACCELERATING,false,0,0,1,0,0,,,0,1,8
5,2,2,27,8,TURNING_LEFT,false,0,0,1,0,1,,,0,1,12
6,2,2,37,15,USED_BOOST,true,5,0,0,0,1,,,0,1,16
7,2,1,51,15,TURNING_LEFT,true,4,0,1,1,1,,,0,2,28
8,2,1,66,15,USED_OIL,true,3,0,1,0,2,,,0,2,36
9,2,1,81,15,NOTHING,true,2,0,2,0,2,,,0,3,44
10,2,1,96,15,NOTHING,true,1,0,2,0,2,,,0,3,44
11,2,1,105,9,USED_LIZARD,false,0,0,2,0,1,,,0,3,44
12,2,1,120,15,USED_BOOST,true,5,0,1,1,1,,,0,3,52
13,2,1,135,15,USED_OIL,true,4,0,1,0,1,,,0,3,56
14,2,2,149,15,TURNING_RIGHT,true,3,0,2,0,1,,,0,3,60
15,2,2,149,3,TURNING_LEFT,false,0,0,2,0,1,,,0,3,53
16,2,1,151,3,TURNING_LEFT,false,0,0,2,0,1,,,0,3,53
17,2,1,166,15,USED_BOOST,true,5,0,1,0,2,,,0,3,61
18,2,2,180,15,TURNING_RIGHT,true,4,0,1,0,2,,,0,3,61
19,2,2,195,15,NOTHING,true,3,0,1,0,3,,,0,3,65
20,2,3,209,15,TURNING_RIGHT,true,2,0,2,0,3,,,0,3,69
21,2,3,224,15,NOTHING,true,1,0,2,0,3,,,0,3,69
22,2,3,239,15,USED_BOOST,true,5,0,1,0,3,,,0,3,73
23,2,2,253,15,TURNING_LEFT,true,4,0,1,0,4,,,1,3,81
24,2,1,267,15,TURNING_LEFT,true,3,0,2,0,4,,,2,4,93
25,2,1,282,15,USED_TWEET,true,2,0,3,0,4,3,203,1,4,101
26,2,2,296,15,TURNING_RIGHT,true,1,0,4,0,4,3,203,1,4,105
27,2,2,311,15,USED_BOOST,true,5,0,3,0,5,3,203,1,4,113
28,2,1,325,15,TURNING_LEFT,true,4,0,3,0,5,3,203,1,4,113
29,2,1,340,15,USED_LIZARD,true,3,0,3,0,4,3,203,1,4,113
30,2,1,355,15,USED_LIZARD,true,2,0,3,0,3,3,203,1,4,113
31,2,1,370,15,USED_TWEET,true,1,0,3,0,3,2,227,0,4,117
32,2,1,385,15,USED_BOOST,true,5,0,2,1,3,2,227,0,4,125
33,2,1,400,15,USED_OIL,true,4,0,2,0,3,2,227,0,4,129
34,2,1,415,15,NOTHING,true,3,0,2,0,3,2,227,0,4,129
35,2,1,430,15,NOTHING,true,2,0,2,0,3,2,227,0,5,133
36,2,2,444,15,TURNING_RIGHT,true,1,0,2,0,3,2,227,0,6,137
37,2,3,452,9,TURNING_RIGHT,false,0,0,2,0,3,2,227,0,6,137
38,2,3,467,15,USED_BOOST,true,5,0,1,0,3,2,227,0,7,145
39,2,2,481,15,TURNING_LEFT,true,4,0,1,0,4,2,227,0,7,149
40,2,2,496,15,USED_LIZARD,true,3,0,1,0,3,2,227,0,7,149
