Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,1,2,12
4,1,1,23,8,USED_TWEET,false,0,0,0,0,0,3,21,0,2,16
5,1,1,32,9,ACCELERATING,false,0,0,0,0,0,3,21,0,2,16
6,1,1,41,9,ACCELERATING,false,0,0,0,0,0,3,21,0,2,16
7,1,2,49,9,TURNING_RIGHT,false,0,0,0,0,0,3,21,0,3,20
8,1,2,58,9,ACCELERATING,false,0,0,0,1,0,3,21,0,3,24
9,1,3,66,9,TURNING_RIGHT,false,0,0,0,1,0,3,21,1,3,28
10,1,3,75,9,USED_OIL,false,0,0,1,0,0,3,21,1,3,36
11,1,3,90,15,USED_BOOST,true,5,0,0,1,0,3,21,1,3,44
12,1,3,105,15,USED_OIL,true,4,0,0,0,0,3,21,1,3,48
13,1,3,120,15,ACCELERATING,true,3,0,0,0,1,3,21,1,3,52
14,1,3,135,15,USED_TWEET,true,2,0,0,0,1,2,121,0,3,56
15,1,3,135,3,HIT_EMP,false,0,0,0,0,0,2,121,0,3,49
16,1,3,141,3,HIT_MUD,false,0,1,0,0,0,2,121,0,3,46
17,1,3,147,6,ACCELERATING,false,0,1,0,0,0,2,121,0,3,46
18,1,2,152,6,TURNING_LEFT,false,0,1,0,1,0,2,121,0,3,50
19,1,2,158,6,USED_EMP,false,0,1,0,1,0,2,121,0,2,54
20,1,2,164,6,USED_EMP,false,0,1,0,1,0,2,121,0,1,58
21,1,2,170,6,USED_EMP,false,0,1,0,1,0,2,121,0,0,62
22,1,2,178,8,ACCELERATING,false,0,1,0,1,0,2,121,0,0,62
23,1,2,187,9,ACCELERATING,false,0,1,0,1,0,2,121,0,0,62
24,1,2,196,9,ACCELERATING,false,0,1,0,1,0,2,121,0,1,66
25,1,2,198,9,USED_EMP,false,0,1,0,1,0,2,121,0,0,70
26,1,3,206,9,TURNING_RIGHT,false,0,1,0,1,0,2,121,0,0,70
27,1,3,215,9,ACCELERATING,false,0,1,0,1,0,2,121,0,0,70
28,1,3,224,9,ACCELERATING,false,0,1,0,2,0,2,121,0,0,74
29,1,2,232,9,TURNING_LEFT,false,0,1,0,2,0,2,121,0,0,74
30,1,3,240,9,TURNING_RIGHT,false,0,1,0,2,0,2,121,0,0,74
31,1,3,240,3,HIT_EMP,false,0,1,0,2,0,2,121,0,0,67
32,1,3,246,6,ACCELERATING,false,0,1,0,2,0,2,121,0,0,67
33,1,3,254,8,ACCELERATING,false,0,1,0,2,1,2,121,0,0,71
34,1,3,262,8,USED_LIZARD,false,0,1,0,2,0,2,121,0,0,71
35,1,2,269,8,TURNING_LEFT,false,0,1,0,3,0,2,121,0,0,75
36,1,3,276,8,TURNING_RIGHT,false,0,1,1,3,0,2,121,0,0,79
37,1,3,285,9,USED_BOOST,true,5,1,0,3,0,2,121,0,0,83
38,1,3,294,9,ACCELERATING,true,4,1,0,3,0,2,121,0,0,83
39,1,3,303,9,ACCELERATING,true,3,1,1,3,0,2,121,0,0,87
40,1,3,312,9,ACCELERATING,true,2,1,1,3,0,2,121,0,0,87
41,1,3,321,9,ACCELERATING,true,1,1,1,3,0,2,121,0,0,87
42,1,3,323,3,HIT_CYBER_TRUCK,false,0,3,1,3,0,2,121,0,0,80
43,1,3,329,6,USED_BOOST,true,5,3,0,3,0,2,121,0,0,84
44,1,3,335,6,ACCELERATING,true,4,3,0,3,0,2,121,0,0,84
45,1,4,340,6,TURNING_RIGHT,true,3,3,0,3,0,2,121,0,0,84
46,1,4,346,6,ACCELERATING,true,2,3,0,3,0,2,121,0,0,84
47,1,4,352,3,HIT_MUD,false,0,4,0,3,0,2,121,0,0,81
48,1,4,355,3,ACCELERATING,false,0,4,0,3,0,2,121,0,0,81
49,1,4,357,0,HIT_CYBER_TRUCK,false,0,5,0,3,0,2,121,0,0,74
50,1,4,357,0,FIXED_CAR,false,0,3,0,3,0,2,121,0,0,74
51,1,4,359,0,HIT_CYBER_TRUCK,false,0,5,0,3,0,2,121,0,0,67
