Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,3,HIT_MUD,false,0,2,0,0,0,,,1,0,-2
4,2,3,12,3,FIXED_CAR,false,0,0,0,0,0,,,1,0,-2
5,2,2,14,3,TURNING_LEFT,false,0,0,1,0,0,,,1,0,2
6,2,1,16,3,TURNING_LEFT,false,0,0,1,0,0,,,1,0,2
7,2,1,31,15,USED_BOOST,true,5,0,0,0,0,,,1,0,6
8,2,1,46,15,NOTHING,true,4,0,0,0,0,,,2,0,10
9,2,1,61,15,NOTHING,true,3,0,0,0,1,,,2,0,14
10,2,1,76,15,NOTHING,true,2,0,0,0,1,,,2,0,14
11,2,1,91,15,USED_LIZARD,true,1,0,0,0,0,,,2,0,14
12,2,1,100,9,USED_TWEET,false,0,0,0,0,0,2,98,1,0,18
13,2,1,109,9,USED_TWEET,false,0,0,0,0,0,2,108,1,0,26
14,2,2,117,9,TURNING_RIGHT,false,0,0,0,0,0,2,108,2,0,30
15,2,2,126,9,NOTHING,false,0,0,0,0,1,2,108,2,0,34
16,2,3,134,9,TURNING_RIGHT,false,0,0,0,0,1,2,108,2,0,34
17,2,4,142,9,TURNING_RIGHT,false,0,0,0,0,2,2,108,3,0,42
18,2,4,151,9,USED_TWEET,false,0,0,0,0,3,1,145,2,0,50
19,2,4,160,9,USED_TWEET,false,0,0,0,0,3,3,150,1,0,54
20,2,4,169,9,USED_TWEET,false,0,0,0,0,3,2,153,0,0,58
21,2,4,178,9,NOTHING,false,0,0,0,0,3,2,153,0,0,58
22,2,3,186,9,TURNING_LEFT,false,0,0,0,0,3,2,153,1,1,66
23,2,2,194,9,TURNING_LEFT,false,0,0,0,0,3,2,153,1,1,66
24,2,2,203,9,USED_TWEET,false,0,0,1,0,3,1,160,0,1,74
25,2,3,211,9,TURNING_RIGHT,false,0,0,1,0,3,1,160,0,1,74
26,2,3,226,15,USED_BOOST,true,5,0,0,0,4,1,160,0,1,82
27,2,3,241,15,NOTHING,true,4,0,0,0,4,1,160,0,1,82
28,2,3,256,15,NOTHING,true,3,0,0,0,4,1,160,0,1,82
29,2,3,271,15,NOTHING,true,2,0,0,0,4,1,160,0,1,82
30,2,3,286,15,NOTHING,true,1,0,1,1,4,1,160,0,1,90
31,2,3,301,15,USED_BOOST,true,5,0,1,1,4,1,160,0,1,98
32,2,3,316,15,USED_OIL,true,4,0,1,0,4,1,160,0,1,102
33,2,3,331,15,NOTHING,true,3,0,1,0,4,1,160,0,1,102
34,2,4,345,15,TURNING_RIGHT,true,2,0,1,0,5,1,160,0,1,106
35,2,4,360,15,USED_LIZARD,true,1,0,1,0,4,1,160,0,1,106
36,2,3,368,9,TURNING_LEFT,false,0,0,1,0,4,1,160,0,1,106
37,2,3,377,9,NOTHING,false,0,0,2,0,5,1,160,0,1,114
38,2,2,385,9,TURNING_LEFT,false,0,0,2,0,5,1,160,0,1,114
39,2,2,400,15,USED_BOOST,true,5,0,1,1,6,1,160,0,1,126
40,2,3,414,15,TURNING_RIGHT,true,4,0,2,1,6,1,160,0,1,130
41,2,3,429,15,USED_OIL,true,3,0,2,0,6,1,160,0,1,134
42,2,2,443,15,TURNING_LEFT,true,2,0,2,0,6,1,160,0,1,134
43,2,3,457,15,TURNING_RIGHT,true,1,0,3,0,6,1,160,1,1,142
44,2,3,466,9,USED_LIZARD,false,0,0,3,0,5,1,160,1,1,142
45,2,3,481,15,USED_BOOST,true,5,0,2,1,5,1,160,1,1,150
46,2,2,495,15,TURNING_LEFT,true,4,0,3,2,5,1,160,1,1,158
